# English GML string literal (escaped)\tKorean GML string literal (escaped)
Harp	하프
Keys to show:	표시할 건반 수:
The amount of keys to show. A high number may\nslow down the program on old computers.	표시할 건반 수입니다. 너무 많으면\n오래된 컴퓨터에서 느려질 수 있습니다.
Mouse wheel	마우스 휠
Use mouse wheel to change instrument	휠로 악기 변경
Use mouse wheel to change key	휠로 음 높이 변경
Use mouse wheel to scroll through the song	휠로 곡 스크롤
Use the mouse wheel to toggle between\nthe available instruments.	마우스 휠로\n악기를 변경합니다.
Use the mouse wheel to toggle\nbetween the keys on the piano.	마우스 휠로\n피아노의 음 높이를 변경합니다.
Use the mouse wheel to scroll through\nthe song horizontally or vertically.	마우스 휠로 곡을\n가로나 세로로 스크롤합니다.
Scroll speed:	스크롤 속도:
The number of ticks or layers scrolled with each mouse wheel step.\nThis setting does not affect macOS trackpads.	휠 한 칸당 이동할 틱 또는 레이어 수입니다.\nmacOS 트랙패드에는 적용되지 않습니다.
Set selected key to pressed one	누른 건반의 음 선택
If the selected key should be set\nto the one pressed using the keyboard.	키보드로 누른 건반의 음을\n선택한 음으로 설정합니다.
Change note properties when scrolling over notes	음표 위에서 휠로 속성 변경
Whether scrolling when hovering over a note should change its key,\nvelocity, panning or pitch, according to the currently selected edit mode.	음표 위에서 휠을 굴리면 현재 편집 모드에 따라\n음 높이, 세기, 패닝 또는 미세 음정을 변경합니다.
Apply hovered layer's volume and panning to note preview sounds	미리듣기에 해당 레이어의 음량·패닝 적용
Whether the preview sound's volume and panning should be\nrelative to the layer the mouse is hovering over.	마우스가 있는 레이어의 음량과 패닝을\n미리듣기 소리에 적용합니다.
Follow marker when playing	재생 마커 따라가기
Automatically scroll along with the\nmarker when playing the song.	재생 중 마커를 따라\n자동으로 스크롤합니다.
Frame by frame	프레임 단위
Page by page	페이지 단위
Tick by tick	틱 단위
Scroll with the marker every frame.	매 프레임마다 마커를 따라 스크롤합니다.
Scroll with the marker every page.	페이지마다 마커를 따라 스크롤합니다.
Scroll with the marker every tick.	매 틱마다 마커를 따라 스크롤합니다.
Whether to always start playing\nat the start of the active section.	항상 활성 구간의\n시작부터 재생합니다.
Whether to stop playing when the\nmarker passes the active section.	마커가 활성 구간을 지나면\n재생을 멈춥니다.
Disable stereo	스테레오 끄기
Disables stereo playback.	스테레오 재생을 끕니다.
Use more audio channels	오디오 채널 확장
Whether to increase the number\nof sounds that can play at once.	동시에 재생할 수 있는\n소리 수를 늘립니다.
Show number of active sounds	재생 중인 소리 수 표시
Displays the number of sounds that are\ncurrently playing in the status bar.	상태 표시줄에 현재\n재생 중인 소리 수를 표시합니다.
Tempo unit	템포 단위
Display song tempos in beats per minute.	템포를 분당 박자 수로 표시합니다.
Display song tempos in ticks per second.	템포를 초당 틱 수로 표시합니다.
Enable visualizer	시각 효과 사용
Visualizer	시각 효과
Visualizer type	시각 효과 유형
Arc	호
Bounce	튀기기
Fall	떨어지기
Fountain	분수
Piano Roll	피아노 롤
Rise	떠오르기
Use Arc visualizer.	호 모양 시각 효과를 사용합니다.
Use Bounce visualizer.	튀어 오르는 시각 효과를 사용합니다.
Use Fall visualizer.	떨어지는 시각 효과를 사용합니다.
Use Fountain visualizer.	분수 시각 효과를 사용합니다.
Use Piano Roll visualizer.	피아노 롤 시각 효과를 사용합니다.
Use Rise visualizer.	떠오르는 시각 효과를 사용합니다.
Use Rittai Onkyou visualizer.	입체 음향 시각 효과를 사용합니다.
Use the 90s theme.	90년대 테마를 사용합니다.
Use the aqua theme.	Aqua 테마를 사용합니다.
Use the dark mode.	다크 모드를 사용합니다.
Use the dark theme.	어두운 테마를 사용합니다.
Use the fluent theme.	Fluent 테마를 사용합니다.
Use the light mode.	라이트 모드를 사용합니다.
Run the program at 120FPS.	초당 120프레임으로 실행합니다.
Run the program at 144FPS.	초당 144프레임으로 실행합니다.
Run the program at 30FPS.	초당 30프레임으로 실행합니다.
Run the program at 60FPS.	초당 60프레임으로 실행합니다.
Run the program with unlimited FPS.\nMay cause very high CPU usage. Use this option with caution!	프레임 제한 없이 실행합니다.\nCPU 사용량이 크게 증가할 수 있습니다!
Unlimited	무제한
Makes the workspace background solid black, so you can\nremove in your video editor when recording the screen.	작업 영역 배경을 검게 만들어\n화면 녹화 후 영상 편집기에서 제거할 수 있게 합니다.
Rainbow mode affects background	배경에도 무지개 모드 적용
Whether to make rainbow mode affect background too.	배경에도 무지개 모드를 적용합니다.
Click to change the theme's accent color.	클릭하여 테마 강조색을 변경합니다.
Set accent color	강조색 설정
RGB color	RGB 색상
Set red amount.	빨간색 값을 설정합니다.
Set green amount.	초록색 값을 설정합니다.
Set blue amount.	파란색 값을 설정합니다.
Color	색상
Information	정보
Song Properties	곡 속성
Song Stats	곡 통계
Properties	속성
Song name:	곡 이름:
Song author:	제작자:
Original song author:	원곡 작곡가:
Description:	설명:
The name of the song.	곡 이름입니다.
The name of the creator of the song.	곡 제작자의 이름입니다.
The name of the creator of the original song\n(Leave empty if you composed the song yourself.)	원곡 작곡가의 이름입니다.\n(직접 작곡한 경우 비워 두세요.)
Enter a description for your song.	곡 설명을 입력하세요.
Time signature:	박자표:
The time signature of the song.	곡의 박자표입니다.
Enable looping	반복 재생
Times to loop:	반복 횟수:
Loop start tick:	반복 시작 틱:
Loop end tick:	반복 끝 틱:
Loop start:	반복 시작:
(infinite)	(무한 반복)
Loop to bar end	마디 끝까지 반복
Loops to the end of the bar/measure.	마디 끝까지 반복합니다.
Tick the song will jump to at the end of playback	재생이 끝나면 돌아갈 틱
Work stats	작업 통계
Minutes spent:\nLeft clicks:\nRight clicks:\nBlocks created:\nBlocks deleted:	작업 시간 (분):\n왼쪽 클릭:\n오른쪽 클릭:\n생성한 블록:\n삭제한 블록:
Note blocks:	소리 블록:
Tracks: 	트랙: 
Total: 	합계: 
Name	이름
Sound	소리
Instruments	악기
Add	추가
Remove	삭제
Import	가져오기
Preview	미리듣기
Load instrument	악기 불러오기
Custom instrument #	사용자 지정 악기 #
The name of this instrument.	이 악기의 이름입니다.
The sound file of this instrument.	이 악기의 소리 파일입니다.
The default key pitch of the sound file.	소리 파일의 기본 음 높이입니다.
The sound file for this instrument cannot be changed.	이 악기의 소리 파일은 변경할 수 없습니다.
No sound file has been selected\nfor this instrument.	이 악기의 소리 파일을\n선택하지 않았습니다.
This sound file could not be found.	이 소리 파일을 찾을 수 없습니다.
Click to play this sound	클릭하여 소리 재생
These settings only apply to this song. To import the settings from another\nsong, click \"Import\". The sound files must be located in the \"Sounds\" folder.	이 설정은 현재 곡에만 적용됩니다. 다른 곡의 설정을 불러오려면\n\"가져오기\"를 누르세요. 소리 파일은 \"Sounds\" 폴더에 있어야 합니다.
This will remove 	삭제할 항목 수: 
 note	개 음표
 using this instrument and cannot be undone. Confirm?	 (이 악기 사용). 되돌릴 수 없습니다. 계속할까요?
Resource pack	리소스 팩
Use sounds.json	sounds.json 사용
Refresh Resource Packs	리소스 팩 새로고침
Load note block sound paths and pitch shifts defined by the selected resource pack.	선택한 리소스 팩의 소리 블록 경로와 음정 설정을 불러옵니다.
Couldn't parse resource pack sounds.json	리소스 팩의 sounds.json을 읽을 수 없습니다
MIDI Import	MIDI 가져오기
Channels	채널
Channel	채널
Tracks	트랙
Percussion	타악기
Patch	프로그램
Patch name	악기 이름
Track name	트랙 이름
Track number	트랙 번호
Amount of events	이벤트 수
The number of the channel.	채널 번호입니다.
The patch (instrument) of the channel.	채널의 프로그램 (악기)입니다.
The name of the patch (instrument) of the channel.	채널의 악기 이름입니다.
The number of the track.	트랙 번호입니다.
The name of the track.	트랙 이름입니다.
The amount of events in the track.	트랙의 이벤트 수입니다.
The instrument the notes in the channel\nshould be translated to.	이 채널의 음표에 사용할\n악기입니다.
The instrument the sound\nshould be translated to.	이 소리에 사용할\n악기입니다.
Sound name	소리 이름
The name of the sound.	소리 이름입니다.
The note which represents the sound.	소리를 나타내는 음표입니다.
The pitch of the output.	출력할 음정입니다.
Note	음표
Pitch	미세 음정
Panning	패닝
Velocity	세기
Octave modifier	옥타브 조정
The octave modifier for all sounds in this channel.	이 채널의 모든 소리에 적용할 옥타브 조정 값입니다.
Read note velocity	음표 세기 읽기
Whether to copy the volume data found\nin each MIDI note.	MIDI 음표의 세기 데이터를\n가져옵니다.
Keep within octave range	2옥타브 범위 유지
Whether to automatically transpose the notes\nto keep them within the 2 octave range.	음표를 자동으로 조옮김하여\n2옥타브 범위 안에 맞춥니다.
Name layers...	레이어 이름...
...after patches	...악기 이름으로
...channel numbers	...채널 번호로
If the layers should be given names\ndepending on the data in the MIDI file.	MIDI 파일의 데이터에 따라\n레이어 이름을 지정합니다.
If the layers should be named\nafter the channels in the MIDI file.	MIDI 채널 번호로\n레이어 이름을 지정합니다.
If the layers should be named\nafter the instruments in the MIDI file.	MIDI 악기 이름으로\n레이어 이름을 지정합니다.
Spacing:	간격:
How much to increase the spacing between each note,\nso that more notes can be placed in between.	음표 사이에 다른 음표를 넣을 수 있도록\n간격을 늘리는 배율입니다.
Keep the same spacing found in the MIDI file.	MIDI 파일의 간격을 유지합니다.
Add twice as much space between each note.	음표 사이 간격을 두 배로 늘립니다.
Add four times as much space between each note.	음표 사이 간격을 네 배로 늘립니다.
Add eight times as much space between each note.\n(This will create a very long song!)	음표 사이 간격을 여덟 배로 늘립니다.\n(곡이 매우 길어집니다!)
Max. channel height:	채널 최대 높이:
The maximum allowed layers per channel.\nClick and drag to adjust.	채널당 최대 레이어 수입니다.\n드래그하여 조절합니다.
Same tempo as in file	파일의 템포 사용
Set the song's tempo to match\nthe one of the MIDI file.	MIDI 파일과 같은 템포를\n사용합니다.
Generate song at 10 ticks / second	초당 10틱으로 곡 생성
Generate song at 5 ticks / second	초당 5틱으로 곡 생성
Generate song at 2.5 ticks / second	초당 2.5틱으로 곡 생성
10 ticks / second	초당 10틱
5 ticks / second	초당 5틱
2.5 ticks / second	초당 2.5틱
Remove silent parts at beginning	처음의 무음 구간 제거
Whether to remove any silent parts\nat the beginning of the song.	곡 시작 부분의\n무음 구간을 제거합니다.
Compress layers	레이어 압축
Compress layers to save vertical space.	레이어를 압축하여 세로 공간을 줄입니다.
Add tempo changer	템포 변경 추가
Whether to add tempo changes found in the MIDI file.\nTempo changes are not supported in-game and in most NBS-compatible tools.	MIDI 파일의 템포 변경을 가져옵니다.\n게임과 대부분의 NBS 도구는 템포 변경을 지원하지 않습니다.
Note Duration	음표 길이
Whether to include the note duration as a stereo trail of notes.	음표 길이를 스테레오 잔향 음표로 표현합니다.
Fade tail velocity	잔향 음표 세기 조절
Linearly change the generated tail notes from the start percentage to the end percentage.\nThe original note head keeps its imported velocity.	생성한 잔향 음표의 세기를 시작 비율에서 끝 비율까지 선형으로 조절합니다.\n원래 음표의 세기는 유지합니다.
Start:	시작:
End:	끝:
Velocity of the first generated tail note,\nas a percentage of the MIDI note velocity.\nClick and drag to adjust.	첫 잔향 음표의 세기입니다.\nMIDI 음표 세기에 대한 비율입니다.\n드래그하여 조절합니다.
Velocity of the last generated tail note,\nas a percentage of the MIDI note velocity.\nClick and drag to adjust.	마지막 잔향 음표의 세기입니다.\nMIDI 음표 세기에 대한 비율입니다.\n드래그하여 조절합니다.
See \"Percussion\" tab	\"타악기\" 탭 참고
Generate song out of MIDI file	MIDI 파일에서 곡 생성
Song generated	곡을 생성했습니다
Whether to use these settings the\nnext time you import a MIDI file.	다음에 MIDI 파일을 가져올 때도\n이 설정을 사용합니다.
Audio Export	오디오 내보내기
Audio export	오디오 내보내기
Export audio track	오디오 트랙 내보내기
Audio track	오디오 트랙
Output format	출력 형식
Sampling rate	샘플링 주파수
1 (mono)	1 (모노)
2 (stereo)	2 (스테레오)
Export the track with a single channel.	모노 채널로 트랙을 내보냅니다.
Export the track with two channels.	스테레오 채널로 트랙을 내보냅니다.
Include locked layers	잠긴 레이어 포함
Whether to export locked layers in the audio track.	잠긴 레이어도 오디오에 포함합니다.
Some sounds could be not be loaded and will be missing from the exported track:\n\n	다음 소리를 불러오지 못해 내보낼 트랙에서 빠집니다:\n\n
\nWould you like to export anyway?	\n그래도 내보낼까요?
An error occurred while exporting the song:\n\n	곡을 내보내는 중 오류가 발생했습니다:\n\n
Track saved! Do you want to open it?	트랙을 저장했습니다! 열어 볼까요?
Data Pack	데이터 팩
Data pack	데이터 팩
Track Export	트랙 내보내기
Export Track	트랙 내보내기
Track schematic	트랙 스키매틱
Schematic	스키매틱
Format:	형식:
Materials	재료
Repeaters per row:	행당 중계기 수:
Repeaters:	중계기:
The amount of repeaters per row in\nthe Schematic. Click and drag to change.	스키매틱의 행당 중계기 수입니다.\n드래그하여 변경합니다.
Simple walkway	직선 통로
Circular walkway	왕복 통로
Generate a simple walkway that stretches\nas far as the length of the song.	곡 길이에 맞는\n직선 통로를 만듭니다.
Generate a walkway where the\nplayer travels back and forth.	플레이어가 왕복하는\n통로를 만듭니다.
Create glass floor	유리 바닥 생성
Whether a glass floor should\nmake all the note blocks visible.	모든 소리 블록이 보이도록\n유리 바닥을 만듭니다.
Include minecart track	광산 수레 선로 포함
Include a minecart track that\nautomatically goes along with the song.	곡을 따라 자동으로 이동하는\n광산 수레 선로를 추가합니다.
Add chest with minecarts	광산 수레 상자 추가
Whether to add a chest full of minecarts\nat the beginning of the song.	곡 시작 지점에 광산 수레가 담긴\n상자를 추가합니다.
Include looping option	반복 재생 옵션 포함
Whether to add a lever that toggles looping.	반복 재생 전환 레버를 추가합니다.
Whether to include locked layers in the Schematic.	잠긴 레이어도 스키매틱에 포함합니다.
Whether to use these settings the\nnext time you export a Schematic.	다음에 스키매틱을 내보낼 때도\n이 설정을 사용합니다.
Block for ground:	바닥용 블록:
Block for walkway:	통로용 블록:
The block that should be used for the ground.\nChoosing grass will result with a bunch of animals spawning.	바닥에 사용할 블록입니다.\n잔디를 선택하면 동물이 생성될 수 있습니다.
The block that should be used for the walkway, \nand everything else that isn't circuitry or ground.	통로와 회로·바닥 외의\n부분에 사용할 블록입니다.
The Schematic is too big. The maximum size is 2000x2000x256.\nTry changing the \"Repeaters per row\" value to decrease the size.	스키매틱이 너무 큽니다. 최대 크기는 2000x2000x256입니다.\n\"행당 중계기 수\"를 조절하여 크기를 줄이세요.
Structure saved!	구조물을 저장했습니다!
Structure Block writes a 1.13-compatible 32-block size header.\nLitematica writes the exact structure dimensions.	구조물 블록은 1.13 호환 32블록 크기 헤더를 기록합니다.\nLitematica는 실제 구조물 크기를 기록합니다.
Use command blocks	명령 블록 사용
Whether to use command blocks instead of note blocks for a wider octave range.\n(Extra notes pack required)	소리 블록 대신 명령 블록으로 음역을 넓힙니다.\n(추가 음역 팩 필요)
Unique name:	고유 이름:
This name will be used in the command	명령에 사용할 이름입니다
Namespace:	네임스페이스:
(optional) Use this to place the functions under a custom namespace.	(선택 사항) 함수를 사용자 지정 네임스페이스에 배치합니다.
If empty, namespace will be the name of the song.	비워 두면 곡 이름을 네임스페이스로 사용합니다.
Path:	경로:
(optional) Path to the song from the main function	(선택 사항) 기본 함수에서 곡까지의 경로
Path can only contain up to 5 subfolders	경로에 하위 폴더는 최대 5개까지 사용할 수 있습니다
Export as ZIP	ZIP으로 내보내기
Whether to export the data pack as a ZIP file.	데이터 팩을 ZIP 파일로 내보냅니다.
If unchecked, it will be saved as a folder instead.	선택하지 않으면 폴더로 저장합니다.
Include out-of-range notes	범위 밖 음표 포함
Whether to include notes that don't fall into the 2 octave range supported by	마인크래프트의 2옥타브 범위 밖 음표도 포함합니다.
Minecraft. This will require an additional resource pack you can get below.	아래에서 받을 수 있는 추가 리소스 팩이 필요합니다.
Get extra notes pack	추가 음역 팩 받기
Get note block textures	소리 블록 텍스처 받기
Save resource pack	리소스 팩 저장
Sound source	소리 분류
Nearby listening	주변 플레이어에게 재생
Whether to let all players in a given	지정한 범위의 모든 플레이어가
Radius (in blocks):	반경 (블록):
Radius in which players will be able to hear the music	플레이어가 음악을 들을 수 있는 반경
Position in map:	월드 내 위치:
X value:	X 좌표:
Z value:	Z 좌표:
X value	X 좌표
Z value	Z 좌표
Command preview:	명령 미리보기:
Whether to include locked layers in the data pack.	잠긴 레이어도 데이터 팩에 포함합니다.
Whether to use these settings the\nnext time you export a data pack.	다음에 데이터 팩을 내보낼 때도\n이 설정을 사용합니다.
Please enter a valid name for the data pack	올바른 데이터 팩 이름을 입력하세요
Export to Minecraft: Java Edition\nversions 1.13 to 1.20.6.	마인크래프트 자바 에디션\n1.13~1.20.6용으로 내보냅니다.
Export to Minecraft: Java Edition\nversions 1.21 and above.	마인크래프트 자바 에디션\n1.21 이상용으로 내보냅니다.
Controlled by Ambient/Environment slider	배경/환경 음량으로 조절
Controlled by Blocks slider	블록 음량으로 조절
Controlled by Friendly Creatures slider	친화적 생명체 음량으로 조절
Controlled by Hostile Creatures slider	적대적 생명체 음량으로 조절
Controlled by Jukebox/Note Blocks slider	주크박스/소리 블록 음량으로 조절
Controlled by Master Volume slider	전체 음량으로 조절
Controlled by Music slider	음악 음량으로 조절
Controlled by Players slider	플레이어 음량으로 조절
Controlled by Voice/Speech slider	음성 음량으로 조절
Controlled by Weather slider	날씨 음량으로 조절
Due to the limitations of note blocks, the song must meet certain criteria in order\nto be properly imported into Minecraft.	마인크래프트에서 곡을 올바르게 재생하려면\n소리 블록의 제약 조건을 충족해야 합니다.
All blocks must be within Minecraft's 2 octave range.	모든 블록이 마인크래프트의 2옥타브 범위 안에 있어야 합니다.
No custom instruments may be used.	사용자 지정 악기를 사용할 수 없습니다.
The tempo must be either 2.5, 5 or 10 ticks per second.	템포는 초당 2.5, 5 또는 10틱이어야 합니다.
Using a resource pack, you may extend the supported range to 6 octaves.	리소스 팩을 사용하면 음역을 6옥타브로 확장할 수 있습니다.
Using a resource pack, you may play custom instruments in Minecraft.	리소스 팩을 사용하면 마인크래프트에서 사용자 지정 악기를 재생할 수 있습니다.
To play without one, all blocks must be within Minecraft's 2 octave range.	리소스 팩 없이 재생하려면 모든 블록이 2옥타브 범위 안에 있어야 합니다.
To play without one, no custom instruments must be used.	리소스 팩 없이 재생하려면 사용자 지정 악기를 사용할 수 없습니다.
Any tempo works when exporting as a data pack.	데이터 팩은 모든 템포를 지원합니다.
However, the tempos 0.25, 0.5, 1, 1.25, 2, 2.5, 4, 5, 10 and 20 t/s work better.	다만 초당 0.25, 0.5, 1, 1.25, 2, 2.5, 4, 5, 10, 20틱이 더 정확합니다.
There are no blocks outside the 2 octave range.	2옥타브 범위를 벗어난 블록이 없습니다.
There is 1 block outside the 2 octave range.	2옥타브 범위를 벗어난 블록이 1개 있습니다.
 blocks outside the 2 octave range.	개 블록이 2옥타브 범위를 벗어났습니다.
There are no blocks with custom instruments.	사용자 지정 악기를 쓰는 블록이 없습니다.
There is 1 block with custom instruments.	사용자 지정 악기를 쓰는 블록이 1개 있습니다.
 blocks with custom instruments.	개 블록이 사용자 지정 악기를 사용합니다.
There are 	총 
The tempo is 	템포: 
 ticks per second.	틱/초.
Select affected blocks	해당 블록 선택
Fix tempo for schematic	스키매틱용 템포 조정
Optimize tempo for data pack	데이터 팩용 템포 최적화
Set note velocity	음표 세기 설정
Set note panning	음표 패닝 설정
Set note pitch	미세 음정 설정
Percent	백분율
Apply the velocity as a percentage\nof each note's current velocity.	현재 음표 세기에 대한\n백분율로 적용합니다.
Add mode	더하기 모드
Add the pitch amount to each note,\ninstead of setting it.	설정한 값을 각 음표의\n현재 음정에 더합니다.
Count	횟수
Reversed	역방향
Stereo width	스테레오 폭
Stereo is done in the inverse direction.	스테레오를 반대 방향으로 적용합니다.
Portamento is done in the inverse direction.	포르타멘토를 반대 방향으로 적용합니다.
Just repeats notes.	음표를 단순 반복합니다.
Automatic fade	자동 페이드
Manual fade	수동 페이드
No fading	페이드 없음
Fade is calculated relative to tick duration of note.	음표의 틱 길이에 맞춰 페이드를 계산합니다.
Fades in until note changes.	음표가 바뀔 때까지 페이드 인합니다.
Fades out until note changes.	음표가 바뀔 때까지 페이드 아웃합니다.
Specify decay and sustain of fade.	페이드의 감쇠와 유지 값을 지정합니다.
Attack/Decay:	어택/감쇠:
Sustain:	유지:
The amount of ticks between repetitions.	반복 사이의 틱 간격입니다.
This may replace \nlower note blocks!	아래쪽 소리 블록이\n덮어써질 수 있습니다!
Stagger can only extend downwards!	엇갈리기는 아래쪽으로만 확장할 수 있습니다!
Must be an integer larger than zero.	0보다 큰 정수여야 합니다.
Must separate relative keys with pipes.	상대 음 높이를 세로줄 (|)로 구분하세요.
Please add pipes ( | ) to separate values!	값 사이에 세로줄 ( | )을 넣으세요!
Values must be between 1 and 100.	값은 1~100 사이여야 합니다.
Invalid value!	잘못된 값입니다!
Invalid value!\n\n	잘못된 값입니다!\n\n
Please enter a valid number!	올바른 숫자를 입력하세요!
Set Tempo	템포 설정
Tempo:	템포:
Tempo (BPM)	템포 (BPM)
Tempo Changer	템포 변경
Tempo changes	템포 변경
Enter the new tempo (in 	새 템포 입력 (단위: 
beats per minute	분당 박자 수
ticks per second	초당 틱 수
Double tempo	템포 두 배
Double the tempo to apply.	적용할 템포를 두 배로 합니다.
BPM (T to tap)	BPM (T로 박자 입력)
Good! Right-clicking the box\nwill show some handy options.	좋습니다! 상자를 우클릭하면\n추가 옵션을 볼 수 있습니다.
Will always floor to integer if using BPM.	BPM에서는 항상 정수로 내림합니다.
Sound Stopper	소리 정지
Add sound stopper	소리 정지 추가
Set Stopping Range	소리 정지 범위 설정
Start Layer (inclusive)	시작 레이어 (포함)
End Layer (inclusive)	끝 레이어 (포함)
Reference audio	참조 오디오
Reference	참조
Load reference audio	참조 오디오 불러오기
Mute reference audio	참조 오디오 음소거
Solo reference audio	참조 오디오만 재생
Remove reference audio\n(Click and drag to remove multiple layers)	참조 오디오 삭제\n(드래그하면 여러 레이어 삭제)
Volume of reference audio: 	참조 오디오 음량: 
Reference offset: 	참조 오디오 오프셋: 
Reference mix	참조 오디오 믹스
Reference mute	참조 오디오 음소거
Reference solo	참조 오디오 단독 재생
Offset (ms): 	오프셋 (ms): 
 ms\n(Click and drag to change)	 ms\n(드래그하여 변경)
Background image	배경 이미지
Open background image	배경 이미지 열기
Import background image	배경 이미지 가져오기
Here you can see and select the MIDI devices connected via USB.	USB로 연결된 MIDI 장치를 확인하고 선택할 수 있습니다.
Refresh	새로고침
Disable device	장치 사용 안 함
The name of the device.	장치 이름입니다.
The instrument that note block added by this device\nwhen recording should have.	녹음 중 이 장치로 입력한 음표에\n사용할 악기입니다.
That device no longer exists, refreshing...	장치가 연결되어 있지 않습니다. 새로고침 중...
Import sounds	소리 가져오기
Import sounds from Minecraft	마인크래프트 소리 가져오기
Sound import	소리 가져오기
This assistant will help you get sound files from your Minecraft:	마인크래프트 소리 파일 가져오기를 도와드립니다:
Java Edition installation	자바 에디션 설치 폴더
 or from the Mojang server	 또는 Mojang 서버
Download from Mojang	Mojang에서 다운로드
Before continuing, ensure you have launched the version you want from	계속하기 전에 원하는 버전을 한 번 실행했는지 확인하세요:
Before continuing, you will need to fetch the asset indexes of Minecraft	계속하기 전에 마인크래프트 에셋 목록을 가져와야 합니다
1. Set your Minecraft installation path:	1. 마인크래프트 설치 경로를 설정하세요:
Select Minecraft installation directory	마인크래프트 설치 폴더 선택
1. Get asset indexes from Mojang	1. Mojang에서 에셋 목록 가져오기
Get	가져오기
2. Select the asset list to copy sounds from:	2. 소리를 가져올 에셋 목록을 선택하세요:
Select a version from the list, and then click 'Get sounds' to import the	목록에서 버전을 선택한 뒤 '소리 가져오기'를 누르세요:
Get sounds	소리 가져오기
Open Sounds folder	Sounds 폴더 열기
Copying sounds... please wait!	소리 복사 중... 잠시 기다려 주세요!
 sounds have been copied!	개 소리를 복사했습니다!
 sounds downloaded	개 소리 다운로드 완료
 sounds located!	개 소리를 찾았습니다!
No sounds located! Check your	소리를 찾지 못했습니다!
Minecraft installation path.	마인크래프트 설치 경로를 확인하세요.
Please choose one...	선택하세요...
No Minecraft installation was found\nat the selected location!	선택한 경로에서 마인크래프트\n설치를 찾지 못했습니다!
The file for the specified asset index could not be found!	지정한 에셋 목록 파일을 찾을 수 없습니다!
An existing folder with imported Minecraft sounds has been found in your Sounds folder. Would you like to replace it?	Sounds 폴더에 이미 가져온 마인크래프트 소리가 있습니다. 덮어쓸까요?
By pressing \"Yes\", you agree to the Minecraft EULA and the Microsoft Service Agreement:\nhttps://www.minecraft.net/eula\nhttps://www.microsoft.com/en-us/servicesagreement	\"예\"를 누르면 마인크래프트 EULA와 Microsoft 서비스 계약에 동의하게 됩니다:\nhttps://www.minecraft.net/eula\nhttps://www.microsoft.com/en-us/servicesagreement
Load settings	설정 불러오기
Export sounds	소리 내보내기
Save song with custom sounds	사용자 지정 소리와 함께 곡 저장
Song with custom sounds	사용자 지정 소리를 포함한 곡
Save failed	저장 실패
The song could not be saved!	곡을 저장하지 못했습니다!
The song could not be saved.\n\nCheck that the destination is writable and has enough free disk space, then try again. Your changes are still open in Note Block Studio.	곡을 저장하지 못했습니다.\n\n저장 위치의 쓰기 권한과 여유 공간을 확인한 뒤 다시 시도하세요. 변경 사항은 Note Block Studio에 그대로 열려 있습니다.
Some of the song's data will be lost if you save in a previous version! Are you sure?	이전 버전으로 저장하면 일부 데이터가 사라집니다! 계속할까요?
Includes custom instrument index	사용자 지정 악기 인덱스 포함
Includes layer panning	레이어 패닝 포함
Includes note velocity/pan/pitch and looping	음표 세기·패닝·미세 음정·반복 포함
Includes song length	곡 길이 포함
Increases custom instrument limit\nAllows custom sounds in subfolders	사용자 지정 악기 수 제한 확장\n하위 폴더의 소리 파일 지원
Doesn't have any of the above, but works on all versions.	위 기능은 없지만 모든 버전에서 작동합니다.
Older versions...	이전 버전...
This song contains more than 18 instruments and cannot be saved in version 	악기가 18개를 초과하여 다음 버전으로 저장할 수 없습니다: 
. The save version will be changed to 	. 저장 버전을 다음으로 변경합니다: 
A silent note will be added to extend the length of the song.	곡 길이를 늘리기 위해 무음 음표를 추가합니다.
This message is shown when the file is opened.	파일을 열 때 이 메시지가 표시됩니다.
Import Pattern	패턴 가져오기
This pattern was created in a newer version of Note Block Studio and cannot be opened safely.	더 최신 버전에서 만든 패턴이므로 안전하게 열 수 없습니다.
This older pattern refers to custom instruments that are not loaded in this song.	이전 형식의 패턴이 현재 곡에 없는 사용자 지정 악기를 참조합니다.
This pattern needs 	이 패턴에 필요한 새 사용자 지정 악기: 
This selection needs 	이 선택 영역에 필요한 새 사용자 지정 악기: 
 new custom instruments, but this song only has room for 	개. 현재 곡에 추가 가능한 악기: 
.\n\nNo notes were imported.	개.\n\n음표를 가져오지 않았습니다.
.\n\nNo notes were pasted.	개.\n\n음표를 붙여넣지 않았습니다.
Copied 	복사한 음표: 
Imported 	가져온 음표: 
 notes and 	개, 사용자 지정 악기: 
 custom instruments from 	개. 원본: 
Some notes used unavailable instruments and were changed to Harp	사용할 수 없는 악기의 음표를 하프로 변경했습니다
Notes with invalid instrument values exist in this song, they will be replaced with Harp.	잘못된 악기 값이 있는 음표를 하프로 변경합니다.
Error: Failed to access file. Note Block Studio may not have permission to access the directory. \nPlease try again using the file browser.	오류: 파일에 접근하지 못했습니다. 폴더 접근 권한이 없을 수 있습니다.\n파일 탐색기를 통해 다시 시도하세요.
An open-source Minecraft music maker	오픈 소스 마인크래프트 음악 제작 도구
What do you want to do?	무엇을 하시겠습니까?
Create a new song	새 곡 만들기
Load a song	곡 불러오기
Browse songs made by the community	커뮤니티에서 만든 곡 찾아보기
Go to noteblock.world	noteblock.world 방문
Recent songs:	최근 곡:
Follow OpenNBS:	OpenNBS 소식:
Watch release video	출시 동영상 보기
There is an update available!	새 업데이트가 있습니다!
You are using the latest version!	최신 버전을 사용 중입니다!
Checking for updates...	업데이트 확인 중...
Could not check for updates	업데이트를 확인하지 못했습니다
Download	다운로드
